Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,CRX_NRL_DN.V1_DN,-0.6955751168612359,-1.501774333905089,0.01,0.42187248213997963,0.34,8/19,11.81%,SDC4;ABCC9;RREB1;NMBR;MYOCD;PTPN13;U2AF1;PLEC
prerank,PRC1_BMI_UP.V1_UP,-0.6632210270668639,-1.4589310724908775,0.01,0.41685019068593226,0.55,7/25,11.94%,FOXP1;PAX5;RREB1;ADCY8;CCND2;NR1I2;IRF8
prerank,SINGH_KRAS_DEPENDENCY_SIGNATURE,-0.8476933423569308,-1.4555039377155046,0.033707865168539325,0.30803387584823905,0.59,1/5,1.49%,LAMA3
prerank,GLI1_UP.V1_DN,-0.8578434652389019,-1.41674028367425,0.07317073170731707,0.45200623086426384,0.85,2/4,9.01%,SPECC1;RUNX1
prerank,IL15_UP.V1_DN,-0.6433728832649883,-1.3673772898195415,0.01,0.7212010528012032,0.95,10/20,21.08%,ARHGEF10;PARP11;VWF;TXNIP;PNRC1;ADAM29;HOXD13;PROM1;CACNA1E;TMPRSS11D
prerank,RPS14_DN.V1_UP,-0.6267857483197425,-1.3498551836764419,0.01,0.7650623981665503,0.97,11/30,20.10%,SDC4;NR4A3;VWF;PTPRO;KBTBD11;PDGFA;SMAD3;ADAMTS6;SIRPA;F5;PROM1
prerank,E2F3_UP.V1_DN,-0.67163151937162,-1.339135168447988,0.03,0.7633883010152013,0.99,8/14,22.57%,MARK2;CBLC;PPARD;LFNG;BRCA2;MACF1;CIITA;SPTB
prerank,BMI1_DN_MEL18_DN.V1_DN,-0.6105145379042929,-1.3094653617052041,0.05,0.974324542085191,1.0,15/24,31.53%,PDE7B;COL14A1;ERCC4;GNPTAB;CDH10;MAP7;NEFH;PROM1;SEMA3E;HOXC13;MXRA5;EPYC;DPYD;PEG3;DLK1
prerank,MYC_UP.V1_DN,-0.6167986435679768,-1.2977908696356806,0.05,0.9955297726689466,1.0,7/23,16.70%,BANF2;WNT5B;SYNE3;KMT2D;PPARD;SLITRK6;WNT9A
prerank,RELA_DN.V1_UP,-0.5939995392810231,-1.2974654352905122,0.03,0.8969812536928613,1.0,8/27,20.53%,CRB1;KLF6;RREB1;TLX1;KMT2D;CDKN2B;CHST1;DGKI
prerank,SIRNA_EIF4GI_UP,-0.6437906543213904,-1.2899504618519497,0.10204081632653061,0.902186173927056,1.0,8/15,20.78%,NONO;ZFP36L2;PTPN13;TXNIP;CPNE1;SPART;NCAPD2;IGF2R
prerank,NRL_DN.V1_DN,-0.5964664514630644,-1.2753000320427852,0.0707070707070707,0.9927396107500311,1.0,7/21,13.85%,FKBP9;ABCC9;MYOCD;PTPN13;U2AF1;PLEC;PRKCQ
prerank,PDGF_UP.V1_UP,-0.6197015191535687,-1.2663097014235105,0.1111111111111111,1.0,1.0,12/19,30.77%,NMBR;KDM6A;NAB2;KBTBD11;TRAF5;CCNE1;EZR;NRAS;HTR1E;CDKN1A;CDK6;RANBP6
prerank,BRCA1_DN.V1_DN,-0.5899761812264683,-1.251314042929625,0.07,1.0,1.0,12/26,21.08%,CD79A;ATP4A;MSH5;TRAF3;KMT2D;GDF5;GNA12;PCDHB1;INSR;SMO;BRCA1;TMPRSS11D
prerank,RAPA_EARLY_UP.V1_DN,-0.584232567618949,-1.2497540155043136,0.08,1.0,1.0,9/28,14.11%,PAX2;COL9A2;MARK2;SLC9A3R1;CYP2A7;GNAT1;PLXND1;MEP1A;MYCN
prerank,NRL_DN.V1_UP,-0.6053775526348851,-1.2400137629910097,0.08,1.0,1.0,12/22,29.62%,CNOT3;GNB1;GNAT1;ZFP36L2;SPEN;SLC29A2;LMO1;BCL3;EXT1;TCP11;BCL2L11;ACVR2B
prerank,PDGF_ERK_DN.V1_DN,-0.5553838918221492,-1.225312929305793,0.09,1.0,1.0,9/33,14.11%,TGIF1;ZBTB5;ZFP36L2;NFKBIA;PNRC1;PER1;IRF2;BCL10;MYCN
prerank,CTIP_DN.V1_UP,-0.6066425530382469,-1.2198483228464723,0.1919191919191919,1.0,1.0,5/14,17.68%,DDIT3;LMO1;INSR;KCNB2;TEK
prerank,CAHOY_OLIGODENDROCUTIC,-0.5963860172842839,-1.2167790010229997,0.15463917525773196,1.0,1.0,5/13,16.91%,PRKAG2;TUBA4A;USP16;PRKCQ;ADGRL2
prerank,ATF2_S_UP.V1_DN,-0.5705725117081957,-1.2097116744715513,0.1,1.0,1.0,8/24,18.61%,SFRP4;PARD6B;KBTBD11;COL11A1;PLSCR4;ADAM22;IQCG;PDE4DIP
prerank,CORDENONSI_YAP_CONSERVED_SIGNATURE,-0.5996731500160449,-1.2094807829204732,0.12244897959183673,1.0,1.0,5/12,22.99%,SGK1;TOP2A;ETV5;SLIT2;THBS1
prerank,AKT_UP_MTOR_DN.V1_DN,-0.5672699834706394,-1.2094483928473991,0.12,1.0,1.0,10/25,20.10%,MLXIPL;GSTA4;ITLN1;NID1;MYO1G;UTP20;FAS;CD200;CELA1;PROM1
prerank,AKT_UP_MTOR_DN.V1_UP,-0.5739182514829282,-1.2065840935539343,0.17,1.0,1.0,6/18,15.64%,TGIF1;KLF6;TRAF3;SPHK1;MYCN;CDKN2B
prerank,MYC_UP.V1_UP,-0.591193555793337,-1.2043291477113005,0.15789473684210525,0.9977619022040786,1.0,2/12,5.74%,TDRD10;TOP1MT
prerank,CRX_DN.V1_DN,-0.5652445171267315,-1.2039069515071465,0.14,0.9630746092281248,1.0,9/22,24.52%,NAB2;DUSP16;MYOCD;GLIPR2;ATP8B2;PLEC;BCL3;CEBPA;CDKN1A
prerank,HINATA_NFKB_IMMU_INF,-0.7090673737602011,-1.2026376007737087,0.21348314606741572,0.9368505212357604,1.0,2/4,22.14%,NFKBIA;RELA
prerank,RB_P130_DN.V1_UP,-0.5868714445207338,-1.2017341613305856,0.12,0.907360656031226,1.0,9/20,26.31%,TRAF2;CCNB2;CHCHD7;ERG;AURKA;PCSK5;WNT2B;SULT1B1;CDK1
prerank,P53_DN.V1_DN,-0.5507655069002588,-1.2014301553362898,0.09,0.8781835342505697,1.0,16/40,28.05%,NR4A3;ARHGEF10;SGK1;NID1;ADCY1;PTPN13;KBTBD11;STAT4;FAS;NAV3;SPART;ITK;CDKN1A;STAT6;MYOM2;VCAN
prerank,MTOR_UP.V1_DN,-0.5658743300834983,-1.1980014782769828,0.15,0.8697223338698594,1.0,9/26,22.10%,MYH11;PHIP;DDIT3;MAX;PDGFA;MYCN;KLF2;WDTC1;LIFR
prerank,RAF_UP.V1_UP,-0.5572681825872849,-1.1932533156296816,0.12,0.8738787130042435,1.0,11/25,23.25%,KLF6;NR4A3;ETV5;MAP3K5;MICAL2;NDC80;SYNE2;SEPTIN6;CREB3L2;EGFR;NUAK1
prerank,EIF4E_DN,-0.5550408169506175,-1.1892238304167966,0.16161616161616163,0.8790630138600343,1.0,6/16,15.47%,PHIP;MAP3K5;RANBP2;FZD3;FAS;ARHGAP32
prerank,ATF2_UP.V1_DN,-0.5724299612840903,-1.188600172015869,0.1717171717171717,0.8566145861309555,1.0,6/20,18.74%,SFRP4;AFF1;PLSCR4;IQCG;PDE4DIP;CD200
prerank,HINATA_NFKB_MATRIX,0.9243197278911565,1.18258863975108,0.26,0.31802120141342755,0.38,1/1,7.61%,RAC1
prerank,NOTCH_DN.V1_UP,-0.5581166451658883,-1.182217499943326,0.16161616161616163,0.8781400512076775,1.0,10/21,26.94%,FKBP9;GSTA3;TLX1;SPTBN2;CPEB3;DGKI;FLT3;CDKN1A;CDHR2;TGFBR1
prerank,EIF4E_UP,-0.6357950875349692,-1.1773192665763905,0.17894736842105263,0.8975130257291722,1.0,4/8,24.14%,PRSS1;MAPK8IP1;MAP2K3;CNTN4
prerank,BCAT_BILD_ET_AL_UP,-0.6183533729186859,-1.1749469498548741,0.17894736842105263,0.8859322124939571,1.0,1/9,0.51%,CNOT3
prerank,IL2_UP.V1_DN,-0.5227261044754329,-1.1746669210417198,0.15,0.862997081520474,1.0,18/35,28.01%,ATP2C2;NR1I2;TXNIP;GDF5;PNRC1;FZD3;AGBL2;TEK;TRPM1;H2AC11;PROM1;CACNA1E;PCSK5;NUAK1;FLT3;SULT1B1;CCDC81;A1CF
prerank,LEF1_UP.V1_DN,-0.5599241258418766,-1.173478645172145,0.15,0.8475456172722111,1.0,7/22,13.81%,PRSS1;PDGFC;CDK3;PTPN13;PLSCR4;STAT4;KIT
prerank,AKT_UP.V1_UP,-0.5460529014491642,-1.1668706957875026,0.21212121212121213,0.8789010044582908,1.0,8/18,26.22%,SPECC1;KLF6;SPHK1;CDKN2B;TFRC;GOT1;PDGFD;PFKP
prerank,STK33_SKM_UP,-0.5067448282266828,-1.1608931394337465,0.16,0.8965434128994315,1.0,12/51,16.32%,KLF6;RESF1;SGK1;SLC12A6;NFKBIA;PTPRO;PHLDA1;RIT1;PLXNB2;TNF;LFNG;BCL3
prerank,YAP1_UP,-0.5790105258500309,-1.156508101628606,0.24242424242424243,0.9080302948917656,1.0,5/12,26.82%,ARHGEF10;LLGL1;SNX7;NRAS;CDK14
prerank,PTEN_DN.V2_DN,-0.5530626862406164,-1.1553856359226709,0.19,0.8949478381285397,1.0,9/26,25.50%,TRAF2;SGK1;KMT2D;MAP3K5;ABLIM2;SPHK1;PTEN;CEBPA;FGFR3
prerank,JNK_DN.V1_UP,-0.523951942484255,-1.1459593455985195,0.17,0.9398859721145804,1.0,10/34,18.19%,RAD17;MDM2;DDIT3;KCNN3;EPHA3;CLCN4;CACNA1H;MAP7;TEK;KCNJ5
prerank,STK33_NOMO_UP,-0.5039455703182874,-1.1449870981065542,0.12,0.9278391467663338,1.0,12/58,16.32%,SDC4;TGIF1;KLF6;WNT5A;SGK1;SLC12A6;PTPRO;PHLDA1;RIT1;GNA12;ULK2;BCL3
prerank,EGFR_UP.V1_UP,-0.5373899430713905,-1.1440694255698391,0.2,0.9124590428103346,1.0,17/30,33.70%,WNT5A;ETV5;NT5C2;PHLDA1;MAP3K5;KTN1;IQCG;BCL3;EXT1;RPS6KA3;EGFR;IGF2BP2;FGFR3;AOX1;NFKB2;ATXN1;IFIT3
