Term,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,CRX_NRL_DN.V1_DN,-0.6955751168612359,-1.501774333905089,0.01,0.42187248213997963,0.34,8/19,11.81%,SDC4;ABCC9;RREB1;NMBR;MYOCD;PTPN13;U2AF1;PLEC
1,prerank,PRC1_BMI_UP.V1_UP,-0.6632210270668639,-1.4589310724908775,0.01,0.41685019068593226,0.55,7/25,11.94%,FOXP1;PAX5;RREB1;ADCY8;CCND2;NR1I2;IRF8
2,prerank,SINGH_KRAS_DEPENDENCY_SIGNATURE,-0.8476933423569308,-1.4555039377155046,0.033707865168539325,0.30803387584823905,0.59,1/5,1.49%,LAMA3
3,prerank,GLI1_UP.V1_DN,-0.8578434652389019,-1.41674028367425,0.07317073170731707,0.45200623086426384,0.85,2/4,9.01%,SPECC1;RUNX1
4,prerank,IL15_UP.V1_DN,-0.6433728832649883,-1.3673772898195415,0.01,0.7212010528012032,0.95,10/20,21.08%,ARHGEF10;PARP11;VWF;TXNIP;PNRC1;ADAM29;HOXD13;PROM1;CACNA1E;TMPRSS11D
5,prerank,RPS14_DN.V1_UP,-0.6267857483197425,-1.3498551836764419,0.01,0.7650623981665503,0.97,11/30,20.10%,SDC4;NR4A3;VWF;PTPRO;KBTBD11;PDGFA;SMAD3;ADAMTS6;SIRPA;F5;PROM1
6,prerank,E2F3_UP.V1_DN,-0.67163151937162,-1.339135168447988,0.03,0.7633883010152013,0.99,8/14,22.57%,MARK2;CBLC;PPARD;LFNG;BRCA2;MACF1;CIITA;SPTB
7,prerank,BMI1_DN_MEL18_DN.V1_DN,-0.6105145379042929,-1.3094653617052041,0.05,0.974324542085191,1.0,15/24,31.53%,PDE7B;COL14A1;ERCC4;GNPTAB;CDH10;MAP7;NEFH;PROM1;SEMA3E;HOXC13;MXRA5;EPYC;DPYD;PEG3;DLK1
8,prerank,MYC_UP.V1_DN,-0.6167986435679768,-1.2977908696356806,0.05,0.9955297726689466,1.0,7/23,16.70%,BANF2;WNT5B;SYNE3;KMT2D;PPARD;SLITRK6;WNT9A
9,prerank,RELA_DN.V1_UP,-0.5939995392810231,-1.2974654352905122,0.03,0.8969812536928613,1.0,8/27,20.53%,CRB1;KLF6;RREB1;TLX1;KMT2D;CDKN2B;CHST1;DGKI
