Term,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,SINGH_KRAS_DEPENDENCY_SIGNATURE,-0.8511209519220231,-1.4933586483320187,0.011363636363636364,1.0,0.7,1/5,4.09%,AREG
1,prerank,MEL18_DN.V1_DN,-0.6214532023245162,-1.4352430834621317,0.02,1.0,0.9,10/24,14.73%,EPHA3;SLC16A4;FANCF;DPYD;CDH10;GTF2I;PDE7B;ATXN3;SEMA3E;H4C8
2,prerank,SRC_UP.V1_DN,-0.6421254301544775,-1.4299805131318384,0.020202020202020204,0.8049780642850748,0.92,4/16,8.18%,PAK3;EZH2;DPYD;MACF1
3,prerank,PDGF_UP.V1_DN,-0.5931658677539713,-1.3918442331706087,0.02,0.9679290894439967,0.99,9/25,17.65%,DCAF1;COL1A2;JUN;PLAG1;ALB;PRSS1;TNFSF8;OMD;CLCN7
4,prerank,PDGF_UP.V1_UP,-0.6132884224264009,-1.3881677185645356,0.02,0.8134515175933387,0.99,6/19,10.89%,EZR;AREG;TRIP12;CDKN1A;RANBP6;CCNE1
5,prerank,VEGF_A_UP.V1_DN,-0.5510453386880083,-1.3562647948305917,0.0,1.0,0.99,26/36,39.67%,PTPRD;SETBP1;SACS;CACNA2D1;BAZ1A;BCLAF1;CBL;IPO5;CCNE1;ACE;IL1RL1;CENPE;RRM2;CDC27;USP13;MYO5A;PNN;NCOA3;BCL10;MAFK;CCNB2;KIF11;DHFR;AMPH;TTK;NDC80
6,prerank,BMI1_DN.V1_DN,-0.6161320879244935,-1.3543409052000375,0.06,0.8897125973677141,0.99,7/17,14.73%,BRCC3;ETV1;DPYD;GTF2I;IDH1;SEMA3E;H4C8
7,prerank,KRAS.50_UP.V1_UP,-0.6694037706472693,-1.3522307404879408,0.05154639175257732,0.790719849583669,0.99,5/13,19.15%,DYNC1I1;ETV1;IL1RL1;STC1;CFHR2
8,prerank,CTIP_DN.V1_UP,-0.6083762904504193,-1.3427540734258812,0.061224489795918366,0.7799922404273734,0.99,6/14,19.44%,COL1A2;SLC16A4;KCNB2;TEK;APOB;DDIT3
9,prerank,BMI1_DN_MEL18_DN.V1_DN,-0.5824465435406015,-1.3345587353168527,0.04,0.7704324469513834,1.0,11/24,26.45%,SLC16A4;DPYD;CDH10;PDE7B;HOXC13;IDH1;SEMA3E;GNPTAB;COL14A1;DUSP2;IFI27
