Term,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,TGFB_UP.V1_UP,-0.9304085881008197,-1.5178930951863758,0.0,0.5232354230600613,0.41,1/4,2.24%,MAP3K4
1,prerank,E2F1_UP.V1_UP,-0.8024121541684988,-1.5156604555355244,0.03333333333333333,0.27427663305567734,0.42,2/7,5.22%,TYMS;PARP1
2,prerank,CYCLIN_D1_KE_.V1_DN,0.9393939393939394,1.4546747244934235,0.06060606060606061,1.0,0.7,2/2,7.46%,ERBB2;FLT1
3,prerank,BMI1_DN_MEL18_DN.V1_UP,-0.946969696969697,-1.4150207057384079,0.04477611940298507,0.9817696916557066,0.97,2/2,7.46%,WEE1;PIK3CG
4,prerank,ESC_J1_UP_EARLY.V1_DN,0.8333333333333333,1.397849462365591,0.07692307692307693,1.0,0.85,2/2,17.91%,MAPT;RIOK2
5,prerank,TBK1.DN.48HRS_UP,-0.8677524446460572,-1.3866290480980912,0.09195402298850575,1.0,0.98,2/4,8.96%,MAP3K4;PIK3C2B
6,prerank,AKT_UP_MTOR_DN.V1_DN,-0.9772727272727273,-1.3820512962675213,0.016129032258064516,0.8489916703200352,0.99,2/2,4.48%,WEE1;PARP2
7,prerank,CSR_EARLY_UP.V1_DN,-0.9537304212934168,-1.3562703615437834,0.058823529411764705,0.9100358030103757,1.0,1/2,2.99%,WEE1
8,prerank,ATM_DN.V1_UP,0.5846153846153846,1.3487654320987654,0.08695652173913043,1.0,0.91,4/4,43.28%,FLT1;RET;PTK2B;SRD5A1
9,prerank,RELA_DN.V1_DN,0.8106060606060608,1.3476963871395427,0.07894736842105263,0.9308346213292117,0.91,2/2,20.15%,DLK1;MST1R
