Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,E2F1_UP.V1_UP,-0.8127100753976132,-1.5178849349431873,0.043478260869565216,0.4143421919613441,0.39,2/7,4.48%,TYMS;PARP1
prerank,TGFB_UP.V1_UP,-0.9245074944092302,-1.505747213804573,0.012048192771084338,0.26213485613880955,0.47,1/4,2.24%,MAP3K4
prerank,AKT_UP_MTOR_DN.V1_DN,-0.9696969696969697,-1.4582529383005192,0.01639344262295082,0.4594406618346878,0.81,2/2,5.22%,WEE1;PARP2
prerank,TBK1.DN.48HRS_UP,-0.8706339807927315,-1.4519818082256915,0.10465116279069768,0.4101142104107182,0.88,2/4,8.96%,MAP3K4;PIK3C2B
prerank,P53_DN.V2_UP,0.8333333333333335,1.4201183431952664,0.0,1.0,0.71,2/2,17.91%,TUBB1;PTK2B
prerank,ERBB2_UP.V1_UP,0.9699248120300752,1.3826915442635972,0.05555555555555555,1.0,0.85,1/1,3.73%,APH1B
prerank,BMI1_DN_MEL18_DN.V1_UP,-0.9545454545454546,-1.3817401550493955,0.0625,0.8844937403909511,0.99,2/2,6.72%,WEE1;PIK3CG
prerank,CYCLIN_D1_KE_.V1_DN,0.9242424242424241,1.3634331694233346,0.08,1.0,0.92,2/2,8.96%,ERBB2;FLT1
prerank,CSR_EARLY_UP.V1_DN,-0.9533282552694812,-1.3396722504646807,0.04918032786885246,1.0,1.0,1/2,2.99%,WEE1
prerank,GCNP_SHH_UP_EARLY.V1_UP,-0.6646715875141835,-1.3087832584846313,0.18947368421052632,1.0,1.0,2/9,10.45%,TYMS;DHFR
prerank,GLI1_UP.V1_UP,-0.9849624060150375,-1.2806210465784937,0.058823529411764705,1.0,1.0,1/1,2.99%,WEE1
prerank,CSR_LATE_UP.V1_UP,0.546153846153846,1.2759948652118098,0.21428571428571427,1.0,1.0,4/4,47.01%,CHEK2;RRM2;CDK1;CDK5
prerank,CAMP_UP.V1_DN,-0.7399378360301284,-1.2748898773812687,0.18823529411764706,1.0,1.0,2/4,15.67%,AKT3;HSP90AA1
prerank,ALK_DN.V1_UP,-0.8630717370325992,-1.2746838862668535,0.14285714285714285,1.0,1.0,1/2,6.72%,PIK3CG
prerank,KRAS.LUNG.BREAST_UP.V1_DN,-0.8934067048030977,-1.2694950100302582,0.19117647058823528,1.0,1.0,1/2,8.96%,PIK3C2B
prerank,KRAS.600.LUNG.BREAST_UP.V1_DN,-0.8934067048030977,-1.2694950100302582,0.19117647058823528,1.0,1.0,1/2,8.96%,PIK3C2B
prerank,VEGF_A_UP.V1_DN,-0.7597265348318655,-1.2617377506617768,0.24390243902439024,0.9834935545456082,1.0,2/5,10.45%,ATIC;DHFR
prerank,ATM_DN.V1_UP,0.5692307692307692,1.2613636363636367,0.05555555555555555,1.0,1.0,4/4,44.78%,FLT1;RET;PTK2B;SRD5A1
prerank,LTE2_UP.V1_DN,0.6641221374045804,1.2517985611510798,0.14285714285714285,1.0,1.0,3/3,35.07%,TAP1;BCL2;JAK2
prerank,IL21_UP.V1_DN,0.9398496240601504,1.2517466231951562,0.11627906976744186,1.0,1.0,1/1,6.72%,KDR
prerank,JAK2_DN.V1_DN,-0.9548872180451127,-1.249692496924969,0.125,0.9923676696683505,1.0,1/1,5.97%,ATM
prerank,EGFR_UP.V1_UP,-0.8371907006248659,-1.241930812220735,0.24,0.974690680137638,1.0,1/2,13.43%,EGFR
prerank,PDGF_UP.V1_DN,0.8796992481203008,1.236555797326702,0.14705882352941177,1.0,1.0,1/1,12.69%,JUN
prerank,PTEN_DN.V2_UP,0.8796992481203008,1.236555797326702,0.14705882352941177,1.0,1.0,1/1,12.69%,JUN
prerank,KRAS.LUNG_UP.V1_UP,-0.8409090909090909,-1.2310537853346775,0.2542372881355932,0.9729642543377991,1.0,2/2,17.91%,AKT2;ABCB1
prerank,NFE2L2.V2,-0.6994178113276813,-1.2282842879322444,0.2926829268292683,0.9246844356016072,1.0,2/7,11.94%,DHFR;NR1I2
prerank,EGFR_UP.V1_DN,0.9097744360902256,1.2183763373190688,0.14583333333333334,1.0,1.0,1/1,9.70%,BCL2
prerank,STK33_SKM_DN,0.5538461538461537,1.2122986822840407,0.17391304347826086,1.0,1.0,4/4,46.27%,FLT3;BCL2;LRRK2;KIT
prerank,IL2_UP.V1_DN,-0.7535625327623525,-1.1985512636269753,0.2463768115942029,1.0,1.0,1/3,11.94%,NR1I2
prerank,NOTCH_DN.V1_UP,0.9248120300751879,1.1953162338696823,0.2786885245901639,1.0,1.0,1/1,8.21%,FLT3
prerank,IL2_UP.V1_UP,0.9172932330827068,1.1942418426103645,0.23529411764705882,0.9470927993839046,1.0,1/1,8.96%,FLT1
prerank,AKT_UP.V1_UP,0.9172932330827068,1.1942418426103645,0.23529411764705882,0.9470927993839046,1.0,1/1,8.96%,FLT1
prerank,AKT_UP_MTOR_DN.V1_UP,0.9172932330827068,1.1942418426103645,0.23529411764705882,0.9470927993839046,1.0,1/1,8.96%,FLT1
prerank,KRAS.600_UP.V1_DN,-0.7786259541984732,-1.19000378857,0.24358974358974358,0.9969135445686477,1.0,3/3,24.63%,PIK3C2B;ABCB1;EPHB6
prerank,PDGF_ERK_DN.V1_DN,0.6666666666666667,1.1862206689965056,0.14814814814814814,0.9236378513669619,1.0,2/2,34.33%,JUN;PDGFRA
prerank,SRC_UP.V1_DN,-0.9248120300751879,-1.1826923076923077,0.23728813559322035,0.9779321326597848,1.0,1/1,8.96%,PIK3C2B
prerank,BRCA1_DN.V1_UP,0.887218045112782,1.1712158808933004,0.2708333333333333,0.8873700423565654,1.0,1/1,11.94%,MAP2
prerank,ATF2_UP.V1_UP,0.887218045112782,1.1712158808933004,0.2708333333333333,0.8873700423565654,1.0,1/1,11.94%,MAP2
prerank,CAMP_UP.V1_UP,-0.8721804511278195,-1.154356479433879,0.3333333333333333,1.0,1.0,1/1,14.18%,HSP90B1
prerank,KRAS.LUNG.BREAST_UP.V1_UP,-0.849624060150376,-1.1466537811065474,0.30952380952380953,0.9974359953781072,1.0,1/1,16.42%,AKT2
prerank,CAHOY_ASTROCYTIC,-0.849624060150376,-1.1466537811065474,0.30952380952380953,0.9974359953781072,1.0,1/1,16.42%,AKT2
prerank,ESC_J1_UP_LATE.V1_UP,0.6666666666666667,1.1368421052631579,0.2962962962962963,0.973086354700768,1.0,2/2,34.33%,DLK1;PDGFRA
prerank,BCAT.100_UP.V1_UP,-0.8345864661654134,-1.1306975138121549,0.3220338983050847,0.9802152426971228,1.0,1/1,17.91%,ABCB1
prerank,KRAS.BREAST_UP.V1_DN,-0.8345864661654134,-1.1306975138121549,0.3220338983050847,0.9802152426971228,1.0,1/1,17.91%,ABCB1
prerank,P53_DN.V1_UP,-0.75,-1.1266220353033172,0.2878787878787879,0.9564995184916116,1.0,2/2,26.87%,EGFR;FYN
prerank,GCNP_SHH_UP_LATE.V1_DN,-0.7404580152671756,-1.1221367091243426,0.3253012048192771,0.936419617509009,1.0,3/3,28.36%,ARAF;EPHB6;EPHA3
prerank,PTEN_DN.V2_DN,0.8721804511278195,1.1203023304639932,0.34782608695652173,0.9572583750481324,1.0,1/1,13.43%,TUBB1
prerank,CTIP_DN.V1_UP,0.8721804511278195,1.1203023304639932,0.34782608695652173,0.9572583750481324,1.0,1/1,13.43%,TUBB1
prerank,KRAS.50_UP.V1_DN,-0.7727272727272727,-1.119754685640166,0.3333333333333333,0.8478512336188593,1.0,2/2,24.63%,ABCB1;EPHB6
