Term,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,E2F1_UP.V1_UP,-0.8127100753976132,-1.5178849349431873,0.043478260869565216,0.4143421919613441,0.39,2/7,4.48%,TYMS;PARP1
1,prerank,TGFB_UP.V1_UP,-0.9245074944092302,-1.505747213804573,0.012048192771084338,0.26213485613880955,0.47,1/4,2.24%,MAP3K4
2,prerank,AKT_UP_MTOR_DN.V1_DN,-0.9696969696969697,-1.4582529383005192,0.01639344262295082,0.4594406618346878,0.81,2/2,5.22%,WEE1;PARP2
3,prerank,TBK1.DN.48HRS_UP,-0.8706339807927315,-1.4519818082256915,0.10465116279069768,0.4101142104107182,0.88,2/4,8.96%,MAP3K4;PIK3C2B
4,prerank,P53_DN.V2_UP,0.8333333333333335,1.4201183431952664,0.0,1.0,0.71,2/2,17.91%,TUBB1;PTK2B
5,prerank,ERBB2_UP.V1_UP,0.9699248120300752,1.3826915442635972,0.05555555555555555,1.0,0.85,1/1,3.73%,APH1B
6,prerank,BMI1_DN_MEL18_DN.V1_UP,-0.9545454545454546,-1.3817401550493955,0.0625,0.8844937403909511,0.99,2/2,6.72%,WEE1;PIK3CG
7,prerank,CYCLIN_D1_KE_.V1_DN,0.9242424242424241,1.3634331694233346,0.08,1.0,0.92,2/2,8.96%,ERBB2;FLT1
8,prerank,CSR_EARLY_UP.V1_DN,-0.9533282552694812,-1.3396722504646807,0.04918032786885246,1.0,1.0,1/2,2.99%,WEE1
9,prerank,GCNP_SHH_UP_EARLY.V1_UP,-0.6646715875141835,-1.3087832584846313,0.18947368421052632,1.0,1.0,2/9,10.45%,TYMS;DHFR
