Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PRC1_BMI_UP.V1_UP,0.6655900784049874,1.3768079794610923,0.0,1.0,0.81,7/25,11.66%,FOXP1;PAX5;RREB1;ADCY8;CCND2;NR1I2;IRF8
prerank,CRX_NRL_DN.V1_DN,0.6978975911165225,1.3659613372345674,0.010101010101010102,1.0,0.85,8/19,11.54%,SDC4;ABCC9;RREB1;NMBR;MYOCD;PTPN13;U2AF1;PLEC
prerank,RPS14_DN.V1_UP,0.6308032993239214,1.3389836531159764,0.01,1.0,0.93,11/30,19.66%,SDC4;NR4A3;VWF;PTPRO;KBTBD11;PDGFA;SMAD3;ADAMTS6;SIRPA;F5;PROM1
prerank,IL15_UP.V1_DN,0.6475637981607923,1.3304944925392257,0.06060606060606061,0.9839143769168179,0.94,10/20,20.62%,ARHGEF10;PARP11;VWF;TXNIP;PNRC1;ADAM29;HOXD13;PROM1;CACNA1E;TMPRSS11D
prerank,MYC_UP.V1_DN,0.6201339381315187,1.2978555466697106,0.06,1.0,1.0,7/23,16.33%,BANF2;WNT5B;SYNE3;KMT2D;PPARD;SLITRK6;WNT9A
prerank,NRL_DN.V1_UP,0.6112980831455795,1.278810869981718,0.07,1.0,1.0,12/22,28.99%,CNOT3;GNB1;GNAT1;ZFP36L2;SPEN;SLC29A2;LMO1;BCL3;EXT1;TCP11;BCL2L11;ACVR2B
prerank,BMI1_DN_MEL18_DN.V1_DN,0.6168092980691983,1.276572943361223,0.06,1.0,1.0,15/24,30.86%,PDE7B;COL14A1;ERCC4;GNPTAB;CDH10;MAP7;NEFH;PROM1;SEMA3E;HOXC13;MXRA5;EPYC;DPYD;PEG3;DLK1
prerank,PDGF_UP.V1_UP,0.6258401035234897,1.2592604976686925,0.1,1.0,1.0,12/19,30.11%,NMBR;KDM6A;NAB2;KBTBD11;TRAF5;CCNE1;EZR;NRAS;HTR1E;CDKN1A;CDK6;RANBP6
prerank,RAPA_EARLY_UP.V1_DN,0.5870339759356301,1.2511538302336032,0.04,1.0,1.0,9/28,13.79%,PAX2;COL9A2;MARK2;SLC9A3R1;CYP2A7;GNAT1;PLXND1;MEP1A;MYCN
prerank,SIRNA_EIF4GI_UP,0.647920820524728,1.2476618437893479,0.13,1.0,1.0,8/15,20.32%,NONO;ZFP36L2;PTPN13;TXNIP;CPNE1;SPART;NCAPD2;IGF2R
prerank,RELA_DN.V1_UP,0.598119842276863,1.2440905655634424,0.1,1.0,1.0,8/27,20.07%,CRB1;KLF6;RREB1;TLX1;KMT2D;CDKN2B;CHST1;DGKI
prerank,NRL_DN.V1_DN,0.5992166424485497,1.225796849958861,0.12,1.0,1.0,7/21,13.54%,FKBP9;ABCC9;MYOCD;PTPN13;U2AF1;PLEC;PRKCQ
prerank,BRCA1_DN.V1_DN,0.5941711465081729,1.218885970615679,0.13,1.0,1.0,12/26,20.62%,CD79A;ATP4A;MSH5;TRAF3;KMT2D;GDF5;GNA12;PCDHB1;INSR;SMO;BRCA1;TMPRSS11D
prerank,PDGF_ERK_DN.V1_DN,0.5581972655406954,1.217880450448861,0.1,1.0,1.0,9/33,13.79%,TGIF1;ZBTB5;ZFP36L2;NFKBIA;PNRC1;PER1;IRF2;BCL10;MYCN
prerank,RB_P130_DN.V1_UP,0.5921338510600014,1.2088573596955736,0.15,1.0,1.0,9/20,25.74%,TRAF2;CCNB2;CHCHD7;ERG;AURKA;PCSK5;WNT2B;SULT1B1;CDK1
prerank,ATF2_S_UP.V1_DN,0.5742921427147306,1.2030295680976282,0.17,1.0,1.0,8/24,18.20%,SFRP4;PARD6B;KBTBD11;COL11A1;PLSCR4;ADAM22;IQCG;PDE4DIP
prerank,ATF2_UP.V1_DN,0.5760269442434646,1.2020499818826877,0.1414141414141414,1.0,1.0,6/22,18.33%,SFRP4;AFF1;PLSCR4;IQCG;PDE4DIP;CD200
prerank,AKT_UP_MTOR_DN.V1_DN,0.5712791472736176,1.192774209098453,0.18,1.0,1.0,10/25,19.66%,MLXIPL;GSTA4;ITLN1;NID1;MYO1G;UTP20;FAS;CD200;CELA1;PROM1
