Term,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,PRC1_BMI_UP.V1_UP,0.6655900784049874,1.3768079794610923,0.0,1.0,0.81,7/25,11.66%,FOXP1;PAX5;RREB1;ADCY8;CCND2;NR1I2;IRF8
1,prerank,CRX_NRL_DN.V1_DN,0.6978975911165225,1.3659613372345674,0.010101010101010102,1.0,0.85,8/19,11.54%,SDC4;ABCC9;RREB1;NMBR;MYOCD;PTPN13;U2AF1;PLEC
2,prerank,RPS14_DN.V1_UP,0.6308032993239214,1.3389836531159764,0.01,1.0,0.93,11/30,19.66%,SDC4;NR4A3;VWF;PTPRO;KBTBD11;PDGFA;SMAD3;ADAMTS6;SIRPA;F5;PROM1
3,prerank,IL15_UP.V1_DN,0.6475637981607923,1.3304944925392257,0.06060606060606061,0.9839143769168179,0.94,10/20,20.62%,ARHGEF10;PARP11;VWF;TXNIP;PNRC1;ADAM29;HOXD13;PROM1;CACNA1E;TMPRSS11D
4,prerank,MYC_UP.V1_DN,0.6201339381315187,1.2978555466697106,0.06,1.0,1.0,7/23,16.33%,BANF2;WNT5B;SYNE3;KMT2D;PPARD;SLITRK6;WNT9A
5,prerank,NRL_DN.V1_UP,0.6112980831455795,1.278810869981718,0.07,1.0,1.0,12/22,28.99%,CNOT3;GNB1;GNAT1;ZFP36L2;SPEN;SLC29A2;LMO1;BCL3;EXT1;TCP11;BCL2L11;ACVR2B
6,prerank,BMI1_DN_MEL18_DN.V1_DN,0.6168092980691983,1.276572943361223,0.06,1.0,1.0,15/24,30.86%,PDE7B;COL14A1;ERCC4;GNPTAB;CDH10;MAP7;NEFH;PROM1;SEMA3E;HOXC13;MXRA5;EPYC;DPYD;PEG3;DLK1
7,prerank,PDGF_UP.V1_UP,0.6258401035234897,1.2592604976686925,0.1,1.0,1.0,12/19,30.11%,NMBR;KDM6A;NAB2;KBTBD11;TRAF5;CCNE1;EZR;NRAS;HTR1E;CDKN1A;CDK6;RANBP6
8,prerank,RAPA_EARLY_UP.V1_DN,0.5870339759356301,1.2511538302336032,0.04,1.0,1.0,9/28,13.79%,PAX2;COL9A2;MARK2;SLC9A3R1;CYP2A7;GNAT1;PLXND1;MEP1A;MYCN
9,prerank,SIRNA_EIF4GI_UP,0.647920820524728,1.2476618437893479,0.13,1.0,1.0,8/15,20.32%,NONO;ZFP36L2;PTPN13;TXNIP;CPNE1;SPART;NCAPD2;IGF2R
