Term,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,KRAS.PROSTATE_UP.V1_UP,-0.22114981116240034,-2.169754552652415,0.0,0.37369640787949016,0.34,18/18,100.00%,TG;TEC;TGFBR1;TLR4;ZEB1;IL7R;STRN;MAP3K1;SYNE3;CNTN5;LMO1;CFHR2;NBEA;FGA;ETV5;MLXIPL;PLCH2;CD79A
1,prerank,ESC_V6.5_UP_EARLY.V1_UP,-0.15202702702702703,-2.117647058823529,0.0,0.22595596755504055,0.39,33/33,100.00%,WT1;ATP8B2;CHD7;WNT3A;PARP6;TERT;TNFRSF1B;ZG16;MAST3;TMCO4;MGA;STIM1;WDFY3;KIF21A;OTUD7A;FOXQ1;MYB;HDAC11;MLLT1;GSTT2;GRM8;GPD1;ARID3B;LPAR4;NCOA2;FGF5;ERCC2;LEF1;CELSR3;LRIG1;DACH1;SLC16A3;RUNX1
2,prerank,VEGF_A_UP.V1_UP,-0.15014761703922394,-1.7626994315055933,0.0,0.44322132097334876,0.75,30/30,100.00%,KMT2D;AKR1B10;TCL1A;TLL2;SMG6;CIC;PHLDA1;SDC4;PSMB8;PTGFR;PTPRC;RELB;NFKBIE;NFKB2;TRAF5;CLIP2;NCF2;IRF5;MN1;GLI1;TXNIP;FGA;FCGR2B;HDAC5;DDIT3;PPP6R2;IFT140;CD79A;CD19;SEMA5A
3,prerank,PRC1_BMI_UP.V1_DN,-0.16281026503996635,-1.6692546583850933,0.08,0.44973928157589804,0.85,24/24,100.00%,KMT2D;SPTBN2;PTPRO;SDK2;CIITA;DDX25;PDGFB;MLLT1;PIK3C2G;HOXA10;GNA15;HOXD11;FLG;FGFR3;FES;FGA;EVPL;IMPG2;GPR183;SHANK1;DCC;KBTBD11;RAPGEF5;ARSD
4,prerank,BRCA1_DN.V1_DN,-0.14273684210526316,-1.5714815501576114,0.12,0.48146002317497105,0.92,26/26,100.00%,KMT2D;CYSLTR2;TMPRSS11D;SCN10A;SMO;HHAT;AURKC;PPP1R9A;MSH5;LYL1;ZNF668;PCDHB1;GDF5;TRAF3;CARD10;INSR;RAPGEF1;GNA12;ZMYND10;FCER1A;CD79A;CHD2;H4C5;H4C2;BRCA1;ATP4A
5,prerank,HOXA9_DN.V1_DN,-0.14562289562289563,-1.5671524222134698,0.08695652173913043,0.4055619930475087,0.92,25/25,100.00%,ZIC1;TEX15;ATAD2;MYO1B;MEN1;RB1;TBL1XR1;RFWD3;PFAS;ITGA4;NOTCH2;SAV1;SLC29A2;HOXA9;H1-4;PSIP1;GNA13;FCGR2B;FANCG;DUSP7;NCAPD2;SLITRK5;ALOX12;APOBEC3B;BRCA2
6,prerank,IL21_UP.V1_UP,-0.10890671169269733,-1.4284835435250693,0.1111111111111111,0.5201953318986923,0.97,32/32,100.00%,XPNPEP2;SLC7A5;MAFK;KIF21B;SPART;SCN9A;ZC3H12A;PTPRO;LYL1;PIM1;NUDT11;PCDHB1;MUC1;NOS2;NMBR;MYH4;TSHR;SLC29A2;H1-4;EGR2;GRIN2A;IQCG;FAT2;ZIC4;TLR6;ARHGAP32;CD79B;IL18RAP;BOK;BCL6;OR6A2;CBL
7,prerank,IL15_UP.V1_DN,-0.15329693406131878,-1.3868516391269765,0.18604651162790697,0.5105735805330244,0.99,20/20,100.00%,TG;PARP11;TMPRSS11D;ATP10B;SELP;MAP2K6;VWF;WNT4;ADAM29;PNRC1;HOXD13;TXNIP;FLG;FSTL3;BCL2L10;SLC26A3;ARHGEF10;CNTN1;CACNA1E;PROM1
8,prerank,WNT_UP.V1_DN,-0.10590717299578059,-1.338392124692371,0.15384615384615385,0.5195056006179992,0.99,31/31,100.00%,SLC1A6;HEY1;TGFBR3;TGFBR1;SEPTIN6;TAL2;STC1;MET;MEP1A;KDM5A;MAPK7;DDX25;NFATC2;IRF7;LBP;KCNA4;SPRR2B;HLA-DRB1;GRM8;GSTA4;NCOA2;TLR6;ETV4;ADAM2;ISG15;CD79B;CNTN1;PTPN22;UBR1;ACVR1B;STK11IP
9,prerank,KRAS.AMP.LUNG_UP.V1_DN,-0.10844892812105927,-1.1562743569758378,0.21739130434782608,0.7630359212050986,1.0,22/22,100.00%,TLR4;SCN10A;RAG1;TRHDE;PODNL1;RELB;KMT2A;MMP13;HOXC11;TBR1;FCGR2B;HDAC7;DRD5;EPYC;SHANK1;ADAM2;DCC;ACE;PLCH2;H2BC11;PROM1;CBL
